Room;Occupants
cab612e5-a986-4dce-84a9-3acb9103fbfe;15
49b82bd2-80dc-4061-bd07-4c5a5f9a4f17;3
82815c1a-fde6-45ee-9b9d-cc4b737c3f5d;19
1bd2d917-505b-4f33-b1ed-c52eeb23b1f8;1
673c7ec1-abba-48f9-a65b-15e555f2f11b;1
aac9082d-ec38-48be-b336-c8ad75eee7bd;8
10ea9be0-d3ca-48f0-bcba-7016e3274c64;16
329a4928-a9c8-4405-98c9-8e946f2d300c;0
6974e999-034e-4f1a-896a-ad7f32a9b0a1;1
e8b89037-77d6-4ee9-b72c-2ee07b8b6157;0
6238d798-a0c8-4776-81b5-3efa1d41ab19;1
db311e18-d610-45ac-ad54-4516f565265b;2
45d1f966-f1bb-474b-a28e-b6aa959d0e78;1
2e3135c2-50f9-40ed-aa43-074764fb2734;8
b2703f52-1bef-4d48-a88d-82640c76fce9;2
68818dec-7be0-4e0b-b4dd-a455d7f8e59b;7
e488a395-eb1f-4341-b7c4-e18cc5c1238e;11
e388d2fb-bdcf-49a3-8afe-03c50897a551;1
89800161-bb9e-4e45-a3fb-3c6b64d68d53;1
78255761-3004-45d0-9971-ca7447c0698b;1
0375f0f3-7341-43c8-90b4-85564a0605a1;0
841621c5-30c7-4404-ab54-5f445f3c4f54;1
18d9795b-3b83-4f0d-b499-008b219b1659;2
ff8dab0c-e16e-4fb6-b7d4-15cc5637e3bc;1
c43703b8-d1d3-4cf4-a311-c352357c8308;2
9fdab3a3-fc8d-412d-8eb3-8202dfb4d466;2
8eaab2a6-83c0-4581-a578-5786120b7f63;1
29bead22-c49a-44b0-a0de-f7c46b052cab;3
840a2426-cc11-499d-941f-c658eb17b1cd;1
bfc318f1-5b23-4817-9034-255705715e03;1
9108605f-5260-4212-801f-07fe0f485adc;1
345bb88b-4077-4059-9832-8a5447488bcd;0
0275aa60-62bb-49ca-baaf-40e078db0989;0
0677d6ca-be87-4675-ac5e-fb4d038064fc;5
460a3cdb-e1a5-4659-8a48-ab24d7799bd2;20
be6eded6-a45e-4c12-9110-fb3b9adff9ad;25
2400bac6-9e1d-4bbc-87fb-fb9080bd55a7;1
5e98be69-35b7-4487-a862-12e8b02242e6;2
53435981-8ba6-4423-b569-e686bd1f0e7a;1
392911f6-4457-48c7-92ce-964988250db3;2
9f7722d1-925b-4cbb-9338-6353e0d53098;2
576e35d0-3297-4f2e-a15f-0906863fde5c;1
f3659c5d-b993-4c11-b5ef-9a0c4f67d18e;0
39522b40-455d-48ef-bcbe-f2d9e6129809;1
a85a61d0-2753-47c0-a986-222219eebc41;0
a420bc4e-48e4-43ee-9f57-cf8c1f68ca2b;1
1bc25cab-7324-44d7-9bf3-afd94ba63c94;1
0805f4a1-a9c7-438b-82c8-47e2a6e4bb6a;0
03bbef3a-bd4f-4933-ac38-533366f47512;1
3f804704-8221-4a59-a1bf-50cb617b7b8c;0
f260b4ea-737e-4651-8c7f-01fd10566539;0
3e94f32b-46a5-4cc5-9508-056c277eae7b;17
8a3a9c49-1724-4480-9472-87a0b0c65e1c;5
d277f0c6-2657-476c-aeac-c528bcc0a8de;1
fc32d7d0-8814-4d12-9ee9-e1f7d8f97a04;1
443b7343-febe-4ab2-868d-f14edbc56560;3
3592a898-1828-4b03-b0c8-9e44430f9480;3
b46dee3e-9dc3-4c7e-94a0-1f438d81319d;3
d3400219-78c0-4186-98f7-06b94ba42df7;2
f9254bdb-0796-4359-bd47-bed412ed8445;1
bf25a0e3-2ced-4f38-a933-6f2ca91256cd;0
32f0f7c4-19e5-4f13-a07d-109615782446;0
05eb5031-377f-4153-a866-1af096c3a80c;0
f8acbc5b-b600-4aef-9e03-68426f87219d;1
5f25ad7d-d3b7-4b05-9d6b-1fbe2fd04a33;6
46b51aa2-3894-4895-9548-8ac09938dd4f;15
6b6d15d3-6ea6-41f1-9e86-75260c9a2419;1
7a86f919-f45d-4889-8773-ebfa355023cf;0
3096acf6-9775-4b69-b87e-397a80e74fe1;2
ace9dd8e-4771-4804-918e-40c44f07313c;2
2c2382e4-13f3-43b1-be7e-d84f5f44a47d;1
617af63d-7dac-4721-91cd-24fc359b18be;1
10b9d657-47cd-43ed-8c58-10cd3d74f1c8;1
273d2ca1-c36c-4362-b9ab-5cb391d10ce0;1
0b4ebc6e-48fc-4da3-b575-49192d18dd1f;1
65f15600-0477-48f4-9735-e3b7359daaad;1
18e9b03e-ae61-4600-a0c3-4bf9227356c6;1
52c9e024-5b31-475a-a0d9-4eb8bf665a40;17
c017c1c0-c05d-4d4d-96eb-835b3413e1f6;4
19d5283d-6929-49fb-b633-c8eb35e0b6b1;2
0fdb3e82-b1e4-4c13-ab75-3fb762b9c69b;2
4f01fa56-9b6d-4f42-9f43-6c3604824c25;2
d102a011-0d76-45df-8a9c-183a6a2841e2;2
b219b8f0-167f-43d0-ac3e-c57e4bd7a51b;1
f8ab6e32-afd9-4f5a-9a8b-a8e842008c28;2
d06adc7f-32f6-4938-9f5c-b2c746ffa1aa;2
ea102f0e-36e0-4992-b750-30a2c7713a8e;2
ebff0e51-6477-44d5-8858-22bc1350902c;1
1608705e-00ca-41c5-8523-07aebcf2b6a6;1
8205e17e-fccc-41d1-a1b3-652e61a7e25c;1
3532faf8-7eb5-4d6d-b353-f7aa2a44e80e;2
18f5eeef-0c8c-47ad-bade-09ce48cf1fd4;1
ea7e4408-4340-45ce-9492-573b74be0260;0
13360183-4af0-4be2-b092-bbfa81ef6e51;1
306b5ef6-7760-4ac5-98fa-988fa53740d3;2
38b3d64f-96c4-4e07-80ce-34d5ec3df606;2
5624d6af-78f3-4f74-94d2-cd94e13bb085;1
39041bd3-1e2e-4da7-a7af-baeaef7334bb;0
32a5751c-dd0b-49b5-bfaa-fb637db634e1;2
78d7fdf7-bc66-4cc3-b382-64bcc738d08e;1
cbc5a160-8371-44d5-bdce-41275334be7a;2
628c6edb-35ac-4184-9af0-6b70a278ca2a;0
0b8d7277-491c-4e49-9cff-8ba3787460f9;3
dc8cfbdf-4d4c-4f7d-99ec-2d46d1a60754;2
d0b0fe63-6217-482e-b8be-b4ce0f7bad94;0
f8692136-735a-4baa-9f95-10b6edea3180;2
c6f9773a-2b5b-4176-a436-d54da59b9db2;0
ce8a1c06-d05c-4eea-b88d-a0b9f39b074c;1
2b833140-fb1b-4a38-9aeb-5cb7dacb8c6e;1
3ca55dc6-82b4-42e3-b65b-5d8686b24fc6;1
4e27fda2-20cc-45fb-afa1-3a3b6e552f41;1
ac817f0e-eb03-4f8f-92ad-5cc7a251b863;7
a49c5596-898a-4900-81dd-8a809666fbc1;0
c46b919a-98b7-4f4c-a43a-a437f68870a7;2
eb2111f5-e8bd-4b8c-8907-401c97b4b822;2
4f67f5e8-0894-4a3b-b36a-1e5f260961b3;0
5f94706e-09ea-4699-8785-4b865b17a9e5;2
7cfb4558-0183-4c6f-8aaf-cd70f0039c4d;2
da899b54-6bb8-49b6-ad0a-36271d118752;1
7d59d694-54e3-4424-86f7-c75408defa20;1
96a49737-1f70-47b7-aea9-16efa4bf78ca;2
91170cc0-3925-4cb8-9d3a-d456be5f3885;2
d7a4a1c3-eb58-4c09-99b1-53fece1d63b7;0
9ec9fc51-70a9-48fa-a82d-d20fbe9ae34e;0
a148ef4d-fb6f-47fc-8a91-ecadbe06094b;0
7ed4ebd2-0150-4ccf-952c-b495e75c6286;1
a15f3217-4733-4c17-aaf0-41561566e5a1;2
e749dc0b-039a-47e3-aa23-847d4b96258b;2
3d77f621-2649-4dae-8fa5-b3f61fcee6a0;2
fae43e06-e3aa-491c-abfa-9a7c60fb3a6b;2
b77dd295-d46d-4f3f-9de2-47fb110eeb25;1
f0d33ec1-e16d-4431-9740-62b01f34d4b3;2
3c8f2035-b7b2-465f-8f43-daa3d98caaa4;1
ebe7ca68-abe0-4aab-b511-94175894d553;0
6e8cbe79-122b-463a-89f7-52551d9b7c72;2
c7004554-103a-445d-b450-7218b810ed35;3
9e13ed5e-d3c0-4835-b273-4579f232b54d;2
7a272b1e-9ed7-4bc3-8f71-036b6c7c585e;2
487b3610-e97b-40c0-b0fa-47fe70808a4d;1
3a39b2e6-eb04-45e8-9c03-c3888ad0fe0c;0
c5adcc3c-d974-417a-97e5-322cf3989ef7;1
60591889-42bd-4521-8b71-6edbad5b0344;1
621a572d-933b-442a-8a97-9b3b339f4d7c;0
b86cb065-9db0-42a6-8209-1cfb2f178729;1
7e794d4b-a9aa-4d66-9a50-5577d82d5469;19
d89ba9f5-74a8-486e-974a-f7b1f714b456;2
c63c8719-02e5-4225-a196-aa47eb510530;0
b2dd9a19-6e24-4535-9f5a-24c235b3763e;1
d03d02ed-568e-42b1-9a28-23d31547650d;0
6c15a7bd-d78a-46fc-b448-df710c681b55;2
480f59a8-ec3c-4d07-bd81-fe305732acc4;1
191f9349-9628-4ded-af3d-b0218b606ac4;1
82feacc1-d1a8-4f44-a053-e6bef039678e;2
30873c31-8606-4cb4-a43c-d41ef5823190;2
88b518e4-749f-408a-a4d8-2f7824d62e6c;1
